text,category,sentiment
i have paid {{Currency Symbol}}{{Refund Amount}} for an order I'm trying to obtain a refund,Billing,Neutral
I expect a restitution of {{Refund Amount}} dollars,Billing,Neutral
help to receive your newslettyer,Technical Support,Positive
i dont know how  to see bill #12588,Billing,Neutral
is it possible to list the available payment modalities ?,Billing,Neutral
how can I talk with a human agent?,Technical Support,Neutral
i dont kno how to inform of an error with a registration,Technical Support,Negative
can uhelp me to chat with somebody,Technical Support,Neutral
create new {{Account Type}} account for daughter,Account Access,Positive
want assistanfe to shop several damn articles,Product Inquiry,Negative
I need help making a complaint,Technical Support,Positive
assistance checking what hours i can reach customre service,Technical Support,Neutral
I am waiting for a rebate fo {{Refund Amount}} dollars,Billing,Neutral
i dont know how i can talk to customer service,Technical Support,Neutral
help me to create a {{Account Category}} account,Account Access,Positive
I try to notify of a sign-up error,Technical Support,Negative
i have problems with canceling order {{Order Number}},Product Inquiry,Negative
I try to order some of your article,Product Inquiry,Neutral
I need hdlp to submit my feedback for a product,Technical Support,Neutral
tell me more about updating the delivery address,Product Inquiry,Neutral
how could I edit my damn user?,Account Access,Negative
need assistance to find my fucking bill from {{Person Name}},Billing,Neutral
i expect a reimbursement of {{Refund Amount}} dollars,Billing,Neutral
can ya help me to switch an item oforder {{Order Number}},Product Inquiry,Positive
what do I have to do to restore the key of my user profile?,Account Access,Positive
I do not know what to do to cancel the standard account,Account Access,Negative
I want information about the removal of my {{Account Type}} account,Account Access,Positive
i dont know what i have to do to create a freemium account,Account Access,Positive
helpchecking the allowed payment options,Billing,Neutral
I cannot submit a secondary delivery address,Product Inquiry,Neutral
"I have to edit some of my user details, how to do it?",Account Access,Neutral
set up new shipping address,Product Inquiry,Neutral
want assistance to get the bills from {{Person Name}},Billing,Positive
see under what circumstances can i ask for reimbursements,Billing,Neutral
I want assistance requesting a compensation of money,Billing,Positive
I have got to submit some feedback for a service,Technical Support,Neutral
I do not know how I could enter my new delivery address,Product Inquiry,Neutral
i do not know what to do to talk with an operator,Technical Support,Neutral
there are issues setting up the new shipping address,Product Inquiry,Neutral
how do I create a {{Account Type}} account for my daughter?,Account Access,Positive
d uship to {{Delivery City}},Product Inquiry,Neutral
get bill #12588,Billing,Neutral
need assistance cancelling purchase {{Order Number}},Product Inquiry,Negative
changing order {{Order Number}},Product Inquiry,Neutral
can you help me subscribing to your corporate newsletter?,Technical Support,Positive
i do not know what i neerd to do to download my bill #12588,Billing,Neutral
correcting infornation on standard account,Account Access,Neutral
need support tryinmg to change the address,Product Inquiry,Positive
wanna ask for a compensatin of money,Billing,Neutral
i need information about correcting my shipping address,Product Inquiry,Neutral
how can I sign up to your corporate nnewsletter?,Technical Support,Neutral
need assistance to submit my feedback for your services,Technical Support,Neutral
where to report issues with online payments,Billing,Neutral
i dont know how to check what methods for delivery are there,Product Inquiry,Neutral
where could I inform of issues with payment?,Billing,Neutral
I do not know what I have to do to chat with a human agent,Technical Support,Neutral
assistance to see ru accepted payment options,Billing,Positive
I have got to see what methods for delivery I have,Product Inquiry,Neutral
i do not know how to download the bill #37777,Billing,Neutral
I don't know how to speak with a humnan agent,Technical Support,Neutral
I'm tryng to get the bill #00108,Billing,Neutral
what do i have to do to find my bills from {{Person Name}},Billing,Neutral
want assistance to write an opinion,Technical Support,Positive
I am trying to list your acceoted payment options,Billing,Neutral
checkmy invoice #37777,Billing,Neutral
question about opening standard accounts,Account Access,Neutral
open {{Account Category}} account,Account Access,Neutral
I do not know what to do to speak with an live agent,Technical Support,Neutral
could uhelp me to contact an assistant,Technical Support,Neutral
check allowed payment methods,Billing,Neutral
question about cancellung purchase {{Order Number}},Product Inquiry,Neutral
modify information on {{Account Type}} acfount,Account Access,Neutral
i dont know how to see the shipping options,Product Inquiry,Neutral
I want to look for my bill #12588,Billing,Positive
I'd like to see order {{Order Number}} current status will  uhelp me,Product Inquiry,Positive
i need assstance to check how soon can i expect the order,Product Inquiry,Neutral
is it possible to notify of troubles with online payment ?,Billing,Negative
I don't know how I can cancel purchase {{Order Number}},Product Inquiry,Negative
I have problems with cancelling purchase {{Order Number}},Product Inquiry,Negative
I want assistance to check the withdcrawal charge,Technical Support,Positive
"I have got to open a new bloody {{Account Type}} account, I need help",Account Access,Negative
can you help me reporting a registration issue?,Technical Support,Positive
I don't know what to do to chat with somebody,Technical Support,Neutral
i want assistance to notify of errors with payment,Billing,Negative
support updating my address,Product Inquiry,Positive
help mke chatting with a person,Technical Support,Positive
i call to check when my parcel is gonna arive,Product Inquiry,Neutral
how do i change to the gold acconut,Account Access,Neutral
"I can't pay, assistance notifying of an issue with payment",Billing,Positive
how do I add some items to order {{Order Number}} ?,Product Inquiry,Neutral
editing data on pro account,Account Access,Neutral
shipping to {{Delivery Country}},Product Inquiry,Neutral
i want help to ask for compensatiuons,Billing,Positive
i try to check the shipment options,Product Inquiry,Neutral
I'm waiting for a refund of {{Refund Amount}} dollrs,Billing,Neutral
open a {{Account Category}} account,Account Access,Neutral
help to check what hours I can call customer service,Technical Support,Positive
I try to lodge a customer complaint,Technical Support,Negative
can you show me the compensation status?,Billing,Neutral
help to locate the bill from {{Person Name}},Billing,Positive
need help editing m address,Product Inquiry,Positive
"I have got to track the restitution, how can I do it?",Billing,Neutral
need to make a consumer reclamation against ur organization,Technical Support,Neutral
see what hours i can reach customer service,Technical Support,Neutral
changing purchase {{Order Number}},Product Inquiry,Neutral
i want help talking with an agent,Technical Support,Positive
help me to delete an item from order {{Order Number}},Product Inquiry,Positive
I don't know how to change the personal information,Account Access,Neutral
need to receive ur newsletter can ya help me,Technical Support,Positive
need assistance to make a consumer claim against ur business,Technical Support,Neutral
want assistance to see the payment modalities,Billing,Positive
need help to shop several of ur item,Product Inquiry,Positive
can you show me what shipment options are available?,Product Inquiry,Neutral
where can i lodge a customer claim,Technical Support,Neutral
I need assistance to dfownload my invoice #37777,Billing,Neutral
get invoice #85632,Billing,Neutral
how do I update the shipping address?,Product Inquiry,Neutral
can you help me to check the methods for shipping?,Product Inquiry,Positive
I want to see the status of order {{Order Number}},Product Inquiry,Positive
"I have got to close a premium account, I need help",Account Access,Positive
i want help to create a {{Account Category}} account,Account Access,Positive
I want assistance to change to the freemium account,Account Access,Positive
i want help to check the current status of my compensation,Billing,Positive
what do I need to do to order something?,Product Inquiry,Neutral
I need to set up another deliverry address,Product Inquiry,Neutral
"I want to file a customer reclamation, how do I do it?",Technical Support,Positive
I call to check how long it takes for the purchase to arrive,Product Inquiry,Neutral
I need information about the methods for shipment,Product Inquiry,Neutral
i cant speak with a person,Technical Support,Neutral
where do I lodge a claim against your business?,Technical Support,Neutral
I don't know how to retrieve the pass of ym account,Account Access,Neutral
could you help me to create a {{Account Type}} account for my fiance?,Account Access,Positive
help me solving a trouble with payment,Billing,Positive
I don't know how to check my restitution status,Billing,Neutral
i can no longer afford purchase {{Order Number}},Product Inquiry,Negative
want help senxing feedback for ur services,Technical Support,Positive
can I list the available payment methods?,Billing,Neutral
help to see in which cases can I ask for refunds,Billing,Positive
will you transfer to me somebody?,Technical Support,Neutral
I want help reporting payment problems,Billing,Positive
"I have to correct purchase {{Order Number}}, I need assistance",Product Inquiry,Neutral
errors with online payments,Billing,Negative
i expect a restitution of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
I don't know what I have to do to buy some of your article,Product Inquiry,Neutral
i want assistance listing the payment methods,Billing,Positive
i dont know how i can submit the secondary shipping address,Product Inquiry,Neutral
i need assistance notifying of a payment probelm,Billing,Neutral
help me to make a customer reclamation against your company,Technical Support,Positive
I need help acquiringv several of your item,Product Inquiry,Positive
how to reset the access key of my account,Account Access,Neutral
I am looking for information about a delivery address change,Product Inquiry,Neutral
see current status of order {{Order Number}},Product Inquiry,Neutral
i dont know what i need to do to change to the pro account,Account Access,Neutral
where could I submit the shipping address?,Product Inquiry,Neutral
I don't know what to do to notify of registration issues,Technical Support,Neutral
I do not know how I can buy some of your article,Product Inquiry,Neutral
another premium account for father,Account Access,Neutral
can uhelp me ti leave a damn review for a product,Technical Support,Negative
"I have to check the shipping options, will you help me?",Product Inquiry,Positive
can you help me lodging a complaint against your company?,Technical Support,Positive
what do i need to do to get my invoices from {{Person Name}},Billing,Neutral
what do i have to do to locate my biull #85632,Billing,Neutral
I don't know how to talk with an agent,Technical Support,Neutral
I want information about correcting order {{Order Number}},Product Inquiry,Positive
what do I have to do to report a problem with sign-up?,Technical Support,Negative
i dont want order {{Order Number}},Product Inquiry,Negative
problems setting up my secondary delivery address,Product Inquiry,Negative
swithcing to standard account,Account Access,Neutral
i want help trying to edit my delivery address,Product Inquiry,Positive
can you help me leave an opinion foor a product?,Technical Support,Positive
I try to see what hours customer service aailable is,Technical Support,Neutral
help checking the withdrawal penalties,Technical Support,Positive
I do not know what I have to do to speak with an operator,Technical Support,Neutral
"I would like to downloasd bill #00108, can you help me?",Billing,Positive
what do I have to do to cancel purchase {{Order Number}}?,Product Inquiry,Negative
I don't know what I have to do to delete my platinum account,Account Access,Neutral
i need assistance to reset the pin code of my account,Account Access,Neutral
can you show me when my item is going to arrive?,Product Inquiry,Neutral
i try to send feedback about ur services,Technical Support,Neutral
reset the access key of my account,Account Access,Neutral
I have troubles editing the address,Product Inquiry,Negative
do you deliver to {{Delivery Country}}?,Product Inquiry,Neutral
I want help recovering my PIN code,Account Access,Positive
"I want to update the damn user data, how could I do it?",Account Access,Negative
i dont know how to report an issue with a registration,Technical Support,Neutral
want help to report a trouble with payment,Billing,Positive
I need assistance to create a {{Account Category}} account,Account Access,Positive
need assistance to list ur fucking payment methods,Billing,Neutral
tell me about modifying  my address,Product Inquiry,Neutral
help me to see at what time I can contact customer service,Technical Support,Positive
i do not know how i can report a registration problem,Technical Support,Negative
i dont know what i need to do to download the bill #85632,Billing,Neutral
want assistance to see the shipping options,Product Inquiry,Positive
I want help checking the restitution current status,Billing,Positive
want assistance submitting my feedback for a service,Technical Support,Positive
"I have to talk with customer support, I need help",Technical Support,Positive
help me file a consumer complaint against ur company,Technical Support,Positive
show me in which situations  can i ask for refunds,Billing,Neutral
I want to correct purchase {{Order Number}},Product Inquiry,Positive
i cannot see if there is anything new on my refund,Billing,Neutral
how do I create a bloody {{Account Category}} account for my father?,Account Access,Negative
could you help me reporting errors with online payment?,Billing,Positive
I am waiting for a rebate of {{Refund Amount}} dollars,Billing,Neutral
what do I need to do to shop some of your product?,Product Inquiry,Neutral
i need help calling customer service,Technical Support,Positive
how to track the reimbursement?,Billing,Neutral
where to file a customer reclamation against your company ?,Technical Support,Neutral
I need assistance checking your reimbursement policy,Billing,Neutral
"I would like to get the bill from {{Person Name}}, help me",Billing,Positive
help to check in what situations can I request a refund,Billing,Positive
I have problems entering a different shipping address,Product Inquiry,Negative
I don't know how I can write a comment for  a product,Technical Support,Neutral
shipnents to {{Delivery Country}},Product Inquiry,Neutral
"I have got to check how soon can I expect my order, help me",Product Inquiry,Positive
i have got to check when will my item arrive,Product Inquiry,Neutral
I would like to see the termination charges,Technical Support,Positive
how to check the current status of purchase {{Order Number}}?,Product Inquiry,Neutral
help to solve an error withonline payments,Billing,Positive
how to download the bills from {{Person Name}}?,Billing,Neutral
can unelp me shop a few of ur article,Product Inquiry,Neutral
I want assistance to inform of errors with registrations,Technical Support,Negative
I need assistance tracking my reimbursement,Billing,Neutral
need to use the {{Account Category}} profile help me,Account Access,Positive
I don't know how I could see the cancellation penalties,Technical Support,Neutral
i dont kno how to request a refund of my money,Billing,Neutral
help informing of a problem with sign-up,Technical Support,Neutral
what do I need to do to see order {{Order Number}} status?,Product Inquiry,Neutral
i try to check what paymnt payment modalities ya accept,Billing,Positive
I do not know what I have to do to get refunds of my money,Billing,Neutral
how can i ask for refunds of money,Billing,Neutral
I do not know how to buy several of your product,Product Inquiry,Neutral
I need assistance seeing what payment options are allowed,Billing,Neutral
can you help me check the status of my compensation?,Billing,Positive
where can i get the invoice #12588,Billing,Neutral
help me report an issue with registrations,Technical Support,Positive
need help earning several of your article,Product Inquiry,Positive
i have to check the termination charges how to do it,Technical Support,Negative
changing details on {{Account Type}} account,Account Access,Neutral
is it possible to change to the {{Account Category}} account?,Account Access,Neutral
how could I edit my goddamn account?,Account Access,Negative
I do not know how to check the early termination penalties,Technical Support,Neutral
I am waiting for a reimbursement of {{Refund Amount}} dollars,Billing,Neutral
is it possible to see in what cases can i ask for a refund,Billing,Neutral
I have to find the bills from {{Person Name}},Billing,Neutral
I need help opening a new goddamn gold account,Account Access,Negative
assistance demanding restitutions of money,Billing,Negative
can I check what hours I can reach customer assistance?,Technical Support,Neutral
i dont know what i need to do to change to the {{Account Type}} account,Account Access,Neutral
how do I make a reclamation against your organization?,Technical Support,Neutral
I have got to report a trouble with online payment,Billing,Negative
i aint registered yet could i open a pro account withyou,Account Access,Neutral
can you help me to check what shipment methods I have?,Product Inquiry,Positive
I need assistance to receive a refund of my money,Billing,Neutral
could I unsubscribe to your corporate newsletter?,Technical Support,Neutral
i want assistance checking when will my item arrive,Product Inquiry,Positive
i have to talk to customer service,Technical Support,Neutral
can you direct to me a person?,Technical Support,Neutral
I cannot enter the new delivery address,Product Inquiry,Neutral
need assistance seeing the payment methods,Billing,Neutral
how can I inform of a trouble with payhments?,Billing,Negative
I need help with updating order {{Order Number}},Product Inquiry,Positive
i want assistance acquiring a few of ur article,Product Inquiry,Positive
"I have to list your payment modalities, how do I do it?",Billing,Neutral
I don't know how I can see your refund policy,Billing,Neutral
can you help me see the ETA of the order {{Order Number}}?,Product Inquiry,Positive
I want assistance chatting with someone,Technical Support,Positive
I would like to cancel purchase {{Order Number}},Product Inquiry,Positive
can you help me to take a quick look at my bill #85632?,Billing,Positive
I need assistance informing of sign-up problems,Technical Support,Negative
help me see your allowed payment options,Billing,Positive
do you deliver to {{Delivery City}}?,Product Inquiry,Neutral
assistance to see when my order is going to arrive,Product Inquiry,Neutral
i do not know how i can remove the premium account,Account Access,Neutral
i need help to set another shipping address pu,Product Inquiry,Positive
want assistance to see the terminatoin charges,Technical Support,Negative
I cannot see your refund policy,Billing,Neutral
need to acquire several of ur article,Product Inquiry,Neutral
I need assistance retreiving my profile key,Account Access,Neutral
I want assistance seeing the cancellation charge,Technical Support,Positive
i need assistance to open a {{Account Category}} account for my dad,Account Access,Neutral
can you help me track order {{Order Number}}?,Product Inquiry,Positive
I expect a restitution of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
i dont know how i can take a quick look at my invoice #85632,Billing,Neutral
I want help to notify of an issue with payments,Billing,Positive
can you help md unsubscribing to your company newsletter?,Technical Support,Positive
I have a problem trying to correct the shipping address,Product Inquiry,Negative
how can I see your reimbursement policy?,Billing,Neutral
help me download the bill from {{Person Name}},Billing,Positive
can you help me to speak with a bloody operator?,Technical Support,Negative
I want help to contact an assistant,Technical Support,Positive
"I need to see when will my package arrive, help me",Product Inquiry,Positive
I expect a compensation of {{Refund Amount}} dollars,Billing,Neutral
help seeing when will my package arrive,Product Inquiry,Positive
I have troubles setting up a new shipping address,Product Inquiry,Negative
I don't know what to do to close a pro accoount,Account Access,Neutral
I do not know how to seehow soon can I expect my purchase,Product Inquiry,Neutral
can utell me more about modifying my delivery address,Product Inquiry,Neutral
how can i demand refunds,Billing,Negative
can you help me changing purchase {{Order Number}}?,Product Inquiry,Positive
where to send feedback about a product?,Technical Support,Neutral
there are problems setting up a new delivery address,Product Inquiry,Negative
I want assistance creatinga standard account,Account Access,Positive
close {{Account Type}} account,Account Access,Neutral
where do I see what hours I can call customer service?,Technical Support,Neutral
I do not know what I need to do to close the {{Account Type}} account,Account Access,Neutral
I can't pay for purchase {{Order Number}},Product Inquiry,Positive
wanna see how soon can i expect the shipment help me,Product Inquiry,Positive
I don't know what I need to do to locate the invoice #85632,Billing,Neutral
i have troubles entering my delivery address,Product Inquiry,Negative
i need assistance informing of problems with online payment,Billing,Negative
what do i need to do to send some feedback,Technical Support,Neutral
where do I file a claim against your company?,Technical Support,Neutral
i want assistance to shop a product,Product Inquiry,Positive
assistance to inform of asign-up problem,Technical Support,Negative
problems with swapping a product of purchase {{Order Number}},Product Inquiry,Negative
how to see bill #37777,Billing,Neutral
where to check the withdrawal penalty?,Technical Support,Negative
I have to list the available payment options,Billing,Neutral
where to receive your company newsletter?,Technical Support,Neutral
i have got to list the accepted payment methods how to do it,Billing,Positive
help to see how soon can I expect my pacjage,Product Inquiry,Positive
want help to obtain a compensation of money,Billing,Positive
what do I have to do to make a complaint?,Technical Support,Negative
I don't know what I need to do to check bill #37777,Billing,Neutral
"I have to talk to customer support, can I get some help?",Technical Support,Positive
need to receive reimbursements of my money,Billing,Neutral
"my card was declined, inform of an error with payments",Billing,Negative
updating order {{Order Number}},Product Inquiry,Neutral
i do not know what i have to do to get my invoice #85632,Billing,Neutral
"I have got to notify of registration problems, help me",Technical Support,Neutral
i do not know what to do to contact a human agent,Technical Support,Neutral
"the experience with you was awful, file a customer complaint",Technical Support,Negative
"I need to check your allowed payment options, how to do it?",Billing,Neutral
need assistance to see the ETA of the purchase {{Order Number}},Product Inquiry,Neutral
help  me reporting a sign-up problem,Technical Support,Neutral
can I see the termination charges?,Technical Support,Negative
what do I have to do to enter my new shipping address?,Product Inquiry,Neutral
I want assistance to demand rebates of money,Billing,Negative
i do not know what i need to do to hsop several articles,Product Inquiry,Neutral
i expect a refund of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
I don't know how I can order some of your article,Product Inquiry,Neutral
can you help me to see the withdrawal fee?,Technical Support,Positive
where to open a {{Account Category}} account?,Account Access,Neutral
corrrect order {{Order Number}},Product Inquiry,Neutral
i need assistance to send some feedback for ur produucts,Technical Support,Neutral
I don't know what to do to switch to the {{Account Category}} account,Account Access,Neutral
help to restore my access key,Account Access,Positive
I do not know how to reset my user profile PIN code,Account Access,Neutral
can you help me see the current status of the rebate?,Billing,Positive
can you help me notifying of issues with a registration?,Technical Support,Positive
"I want to see how soon can I expect my delivery, help me",Product Inquiry,Positive
where can i obtain a compensation of money,Billing,Neutral
cn I place an order from {{Delivery City}}?,Product Inquiry,Neutral
what do i need to do to create a {{Account Category}} account,Account Access,Positive
I need help leaving feedback about a service,Technical Support,Positive
I don't know what I need to do to get the bill #12588,Billing,Neutral
I need help to notify of problems with sign-up,Technical Support,Neutral
I need help with canceling purchase {{Order Number}},Product Inquiry,Positive
"I want to send my feedback, I need assistance",Technical Support,Positive
want help to check in what cases can i request refunds,Billing,Positive
I try to see order {{Order Number}} status,Product Inquiry,Neutral
how acn i get information about forgotten access keys,Account Access,Negative
can uhelp me to get the invoice #12588,Billing,Neutral
I need help to locate my bills from {{Person Name}},Billing,Positive
I don't know how to recover the PIN of my profile,Account Access,Neutral
I want help submitting my feedback about your products,Technical Support,Positive
i cannot poay for purchase {{Order Number}},Product Inquiry,Neutral
I'm trying to cancel purchase {{Order Number}},Product Inquiry,Negative
i want assistance to list the payment methods,Billing,Positive
help to talk to customer service,Technical Support,Positive
where can I list the payment options?,Billing,Neutral
i need assistance with creating a platinum account,Account Access,Positive
how can I check when my bloody product is going to arrive?,Product Inquiry,Negative
i dont have a bloody {{Account Category}} account yet i ened to open one,Account Access,Positive
I do not know how to see when will my item arrive,Product Inquiry,Neutral
help me see in what cases can I reuest my money back,Billing,Positive
wanna order a few of ur article,Product Inquiry,Neutral
wanna see the statusof order {{Order Number}} i need help,Product Inquiry,Positive
i need assistance getting my bill from {{Person Name}},Billing,Neutral
is it possible to obtain reimbursements of my money,Billing,Neutral
i dont know how i could inform of an error with signup,Technical Support,Negative
i have got to check the terminatiln penalties how to do it,Technical Support,Neutral
what do I need to do to check the goddamn shipping options?,Product Inquiry,Negative
lodging consumer complaint against your business,Technical Support,Negative
want help retrieving the pwd of my user account,Account Access,Positive
I don't know what to do to see the methods for shipping,Product Inquiry,Neutral
how can i submit some feedback abot ur company,Technical Support,Neutral
could you help me reset the PIN of my user profile?,Account Access,Positive
I don't know what I have to do to reset the PIN of my user,Account Access,Neutral
help me making a claim against your business,Technical Support,Positive
I try to edit the address,Product Inquiry,Neutral
I can't seed your refund policy,Billing,Neutral
where can i look for the inovice #12588,Billing,Neutral
need assistance to use the platinum profile,Account Access,Neutral
i dont know how to change to the premium account,Account Access,Neutral
i want help talking with an assistat,Technical Support,Positive
need help to see what shipping methods are there,Product Inquiry,Positive
see in what situations can I ask for refunds,Billing,Neutral
i cannot pay want help to report errors with payments,Billing,Negative
"I cannot find the termination penalty, can I get some help?",Technical Support,Negative
show me what payment options are accepted,Billing,Positive
I try to restore the access key of my account,Account Access,Positive
what do i have to do to get invoice #37777,Billing,Neutral
assistance lodging a customer reclamation against ur copany,Technical Support,Neutral
I do not know how I can set up my shipping address,Product Inquiry,Neutral
how to subscribe to the newsletter?,Technical Support,Neutral
i dont know what to do to get the invoice #00108,Billing,Neutral
want help to change something of order {{Order Number}},Product Inquiry,Positive
I want help to see the fucking ETA of the order {{Order Number}},Product Inquiry,Positive
I have a trouble trying to modify my address,Product Inquiry,Negative
do you ship to {{Delivery Country}}?,Product Inquiry,Neutral
could you help me check hte cancellation penalties?,Technical Support,Positive
how to check at what time I can call customer service?,Technical Support,Neutral
i want inofrmation about delivery periods how could i get it,Product Inquiry,Positive
"I have to see my refund current status, will you help me?",Billing,Positive
correcting data on {{Account Type}} accoujnt,Account Access,Neutral
track order {{Order Number}},Product Inquiry,Neutral
notify of issue with ergistration,Technical Support,Neutral
I expect a reimbursmeent of {{Refund Amount}} dollars,Billing,Neutral
help me reporting an issue wigh online payment,Billing,Positive
refund  {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
look for bill #00108,Billing,Neutral
can you help me seeing when my product is going to arrive?,Product Inquiry,Positive
can ya help me see what payment options ya accept,Billing,Positive
is it possible to change to the pro account?,Account Access,Neutral
"I want to see my invoice #37777, I need assistance",Billing,Positive
assistance seeing what shipment options are available,Product Inquiry,Neutral
there is an error modifying my delivery address,Product Inquiry,Negative
use platinum account,Account Access,Neutral
could i swap some goddamn products of order {{Order Number}},Product Inquiry,Negative
I do not know how to notify of a trouble with payment,Billing,Negative
I want assistance settnig up the delivery address,Product Inquiry,Positive
where do I find the bill from {{Person Name}}?,Billing,Neutral
assistance seeing the invoices from {{Person Name}},Billing,Neutral
i do not know what to do to download the invoice #85632,Billing,Neutral
what do I have to do to use the {{Account Category}} profile?,Account Access,Neutral
I have got to make a customer reclamation,Technical Support,Neutral
I need help with adding an article to order {{Order Number}},Product Inquiry,Positive
need help to open a freemium afcount for my daughter,Account Access,Positive
wanna locate purchase {{Order Number}} can i get some help,Product Inquiry,Positive
i have to check the shipment methods i need assistance,Product Inquiry,Neutral
is there an e-mail to send an opinion about your products?,Technical Support,Neutral
open a {{Account Category}} account for my dad,Account Access,Neutral
I don't know how to leave some feedback,Technical Support,Negative
i dont know what to do to change to the freemium account,Account Access,Neutral
I can't check purchase {{Order Number}} status,Product Inquiry,Neutral
i cannot pay help me to report issues with payment,Billing,Negative
switching to {{Account Category}} account,Account Access,Neutral
I want to know about receiving your company newsletter,Technical Support,Positive
I am waiting for a restitution of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
i dont know what i habe to do to get my bill #85632,Billing,Neutral
I want assistance to see the payment methods,Billing,Positive
help me to check the current status of order {{Order Number}},Product Inquiry,Positive
I want to see in which cases can I request to be refunded,Billing,Positive
i dont know what i need to do to delete a standard account,Account Access,Neutral
want help lodging a consumer reclmaation,Technical Support,Positive
want help to file a consumer claim,Technical Support,Positive
need to report an issue with signup,Technical Support,Neutral
can uhelp me to shop some items,Product Inquiry,Neutral
